Region,Storage,Hour,Fuel,Value
DE,Battery,1,Power,24.875
DE,Battery,2,Power,6.232106481481484
DE,Battery,3,Power,0.0
DE,Battery,4,Power,0.0
DE,Battery,5,Power,-0.0
DE,Battery,6,Power,0.0
DE,Battery,7,Power,-0.0
DE,Battery,8,Power,0.0
DE,Battery,9,Power,0.0
DE,Battery,10,Power,0.0
DE,Battery,11,Power,0.0
DE,Battery,12,Power,0.0
DE,Battery,13,Power,0.0
DE,Battery,14,Power,-0.0
DE,Battery,15,Power,-0.0
DE,Battery,16,Power,-0.0
DE,Battery,17,Power,-0.0
DE,Battery,18,Power,0.0
DE,Battery,19,Power,0.0
DE,Battery,20,Power,0.0
DE,Battery,21,Power,0.0
DE,Battery,22,Power,0.0
DE,Battery,23,Power,0.0
DE,Battery,24,Power,0.0
DE,Battery,25,Power,0.0
DE,Battery,26,Power,0.0
DE,Battery,27,Power,-0.0
DE,Battery,28,Power,-0.0
DE,Battery,29,Power,2.9087128931050352
DE,Battery,30,Power,17.894169328639506
DE,Battery,31,Power,32.804698481996304
DE,Battery,32,Power,32.64067498958632
DE,Battery,33,Power,32.47747161463839
DE,Battery,34,Power,32.3150842565652
DE,Battery,35,Power,32.15350883528237
DE,Battery,36,Power,18.61157640052112
DE,Battery,37,Power,0.0
DE,Battery,38,Power,-0.0
DE,Battery,39,Power,-0.0
DE,Battery,40,Power,-0.0
DE,Battery,41,Power,-0.0
DE,Battery,42,Power,-0.0
DE,Battery,43,Power,-0.0
DE,Battery,44,Power,-0.0
DE,Battery,45,Power,0.0
DE,Battery,46,Power,0.0
DE,Battery,47,Power,0.0
DE,Battery,48,Power,-0.0
DE,Battery,49,Power,0.0
DE,Battery,50,Power,0.0
DE,Battery,51,Power,14.999999999999998
DE,Battery,52,Power,26.750843340144588
DE,Battery,53,Power,26.617089123443865
DE,Battery,54,Power,26.484003677826646
DE,Battery,55,Power,28.9549189020815
DE,Battery,56,Power,37.669728532663314
DE,Battery,57,Power,50.0
DE,Battery,58,Power,49.75
DE,Battery,59,Power,49.50125
DE,Battery,60,Power,30.735225231481483
DE,Battery,61,Power,17.3986733349537
DE,Battery,62,Power,9.385166968278934
DE,Battery,63,Power,0.0
DE,Battery,64,Power,0.0
DE,Battery,65,Power,0.0
DE,Battery,66,Power,0.0
DE,Battery,67,Power,0.0
DE,Battery,68,Power,0.0
DE,Battery,69,Power,0.0
DE,Battery,70,Power,0.0
DE,Battery,71,Power,0.0
DE,Battery,72,Power,-0.0
DE,Battery,73,Power,0.0
